tag,date,question_count,question_pct,unanswered_count,unanswered_pct
paypal,9/25/2018,18050.00,1.09E-03,8402.00,1.75E-03
amazon-elb,9/25/2018,1452.00,8.8e-5,561.00,1.16972e-4
amazon-mws,9/25/2018,706.00,4.28e-5,278.00,5.8e-5
amazon-swf,9/25/2018,232.00,1.41e-5,77.00,1.61e-5
amazon-sns,9/25/2018,1400.00,8.48e-5,601.00,1.25312e-4
excel,9/25/2018,177603.00,1.08E-02,61804.00,1.29E-02
mongodb,9/25/2018,104159.00,6.31E-03,36543.00,7.62E-03
amazon-glacier,9/25/2018,192.00,1.16e-5,59.00,1.23e-5
amazon-route53,9/25/2018,1098.00,6.65e-5,389.00,8.11e-5
dropbox,9/25/2018,3071.00,1.86091e-4,1169.00,2.43743e-4
azure,9/25/2018,61259.00,3.71E-03,21114.00,4.40E-03
sql-server,9/25/2018,242484.00,1.47E-02,60854.00,1.27E-02
amazon-cloudwatch,9/25/2018,1165.00,7.06e-5,496.00,1.03419e-4
amazon-redshift,9/25/2018,3502.00,2.12208e-4,1265.00,2.6376e-4
amazon-cognito,9/25/2018,2830.00,1.71487e-4,1200.00,2.50207e-4
amazon-dynamodb,9/25/2018,5985.00,3.62668e-4,2178.00,4.54125e-4
ios9,9/25/2018,4183.00,2.53474e-4,1580.00,3.29439e-4
amazon-sqs,9/25/2018,1584.00,9.6e-5,560.00,1.16763e-4
dropbox-api,9/25/2018,2072.00,1.25555e-4,831.00,1.73268e-4
amazon-ses,9/25/2018,934.00,5.66e-5,353.00,7.36e-5
amazon-emr,9/25/2018,3046.00,1.84576e-4,1241.00,2.58755e-4
citrix,9/25/2018,597.00,3.62e-5,292.00,6.09e-5
amazon-elastic-beanstalk,9/25/2018,5490.00,3.32673e-4,2219.00,4.62674e-4
amazon-rds,9/25/2018,2537.00,1.53732e-4,1026.00,2.13927e-4
amazon-rds-aurora,9/25/2018,323.00,1.96e-5,148.00,3.09e-5
android,9/25/2018,1138658.00,6.90E-02,424953.00,8.86E-02
amazon-cloudformation,9/25/2018,2516.00,1.5246e-4,888.00,1.85153e-4
ios,9/25/2018,577421.00,3.50E-02,189226.00,3.95E-02
android-pay,9/25/2018,490.00,2.97e-5,221.00,4.61e-5
applepay,9/25/2018,357.00,2.16e-5,174.00,3.63e-5
windows,9/25/2018,124751.00,7.56E-03,38967.00,8.12E-03
amazon-web-services,9/25/2018,63939.00,3.87E-03,25149.00,5.24E-03
google-spreadsheet,9/25/2018,15685.00,9.50449e-4,5978.00,1.25E-03
amazon-cloudfront,9/25/2018,2264.00,1.3719e-4,885.00,1.84527e-4
amazon-lambda,9/25/2018,8032.00,4.86708e-4,8032.00,1.67E-03
amazon-cloudsearch,9/25/2018,318.00,1.93e-5,134.00,2.79e-5
amazon-ecs,9/25/2018,1074.00,6.51e-5,507.00,1.05712e-4
amazon-s3,9/25/2018,25443.00,1.54E-03,10022.00,2.09E-03
amazon-elasticache,9/25/2018,434.00,2.63e-5,179.00,3.73e-5
amazon-simpledb,9/25/2018,392.00,2.38e-5,78.00,1.63e-5
amazon-data-pipeline,9/25/2018,399.00,2.42e-5,196.00,4.09e-5
amazon-ec2,9/25/2018,22755.00,1.38E-03,8499.00,1.77E-03
amazon-ebs,9/25/2018,338.00,2.05e-5,54.00,1.13e-5
ios8,9/25/2018,9399.00,5.69544e-4,3213.00,6.69929e-4
amazon-kinesis,9/25/2018,766.00,4.64e-5,380.00,7.92e-5
cognos,9/25/2018,848.00,5.14e-5,378.00,7.88e-5
actionscript,9/25/2018,9101.00,5.51486e-4,2444.00,5.09588e-4
amazon,9/25/2018,3636.00,2.20328e-4,1409.00,2.93784e-4
osx,9/25/2018,87485.00,5.30E-03,87485.00,1.82E-02
stripe-payments,9/25/2018,4964.00,3.00797e-4,1799.00,3.75097e-4
actionscript-3,9/25/2018,41149.00,2.49E-03,11027.00,2.30E-03
amazon-vpc,9/25/2018,719.00,4.36e-5,215.00,4.48e-5
applepayjs,9/25/2018,30.00,1.82e-6,19.00,3.96e-6
paypal,9/24/2018,18042.00,1.09E-03,8395.00,1.75E-03
stripe-payments,9/24/2018,4960.00,3.00685e-4,1796.00,3.7472e-4
amazon-elb,9/24/2018,1450.00,8.79e-5,559.00,1.16631e-4
amazon-swf,9/24/2018,232.00,1.41e-5,77.00,1.61e-5
osx,9/24/2018,87467.00,5.30E-03,87467.00,1.82E-02
amazon-mws,9/24/2018,706.00,4.28e-5,278.00,5.8e-5
